economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
SSD,26.5060240963855,28.4595300261097,28.4595300261097,28.4595300261097,28.4595300261097,28.4595300261097,32.3636363636364,32.3636363636364,32.3636363636364
STP,18.1818181818182,18.1818181818182,18.1818181818182,14.5454545454545,14.5454545454545,23.6363636363636,23.6363636363636,14.5454545454545,14.5454545454545
SWZ,6.15384615384615,6.15384615384615,6.15384615384615,7.2463768115942,7.2463768115942,9.58904109589041,9.58904109589041,13.5135135135135,17.1428571428571
SYC,43.75,21.2121212121212,21.2121212121212,21.2121212121212,21.2121212121212,24.2424242424242,22.8571428571429,22.8571428571429,22.8571428571429
TCD,14.8936170212766,14.8936170212766,12.7659574468085,15.2542372881356,14.8809523809524,15.4320987654321,32.258064516129,25.8883248730964,25.8883248730965
TGO,17.5824175824176,17.5824175824176,17.5824175824176,17.5824175824176,16.4835164835165,18.6813186813187,18.6813186813187,18.6813186813187,19.7802197802198
TUN,31.3364055299539,31.3364055299539,31.3364055299539,31.3364055299539,22.5806451612903,24.8847926267281,26.2672811059908,26.2672811059908,16.2337662337662
TZA,36.0,36.5591397849462,37.1794871794872,37.1794871794872,36.8956743002545,36.71875,36.8556701030928,36.8556701030928,37.4045801526718
UGA,34.9740932642487,33.4894613583138,34.2984409799555,34.2984409799555,34.8583877995643,34.8583877995643,33.8129496402878,33.8129496402878,33.8129496402878
ZAF,42.0,42.0,41.8367346938776,42.7480916030534,46.3476070528967,46.75,46.5822784810127,46.5,45.8646616541353
ZMB,12.6582278481013,17.9640718562874,17.9640718562874,17.9640718562874,17.9640718562874,16.7664670658683,15.0602409638554,15.0602409638554,14.9700598802395
ZWE,31.4814814814815,31.4814814814815,32.5757575757576,31.4814814814815,31.8518518518519,31.8518518518519,31.8518518518519,30.5660377358491,30.6818181818182
